class_id,class_name,pixel_count,pixel_fraction,image_count,image_fraction
0,Background,103921365,0.37903158919817925,140,1.0
1,Instrument,14910875,0.05438431883169935,137,0.9785714285714285
2,Other,461628,0.0016836922268907563,85,0.6071428571428571
3,Trachea,8381452,0.030569604925303456,80,0.5714285714285714
4,Right main bronchus,2926687,0.010674482813958917,43,0.30714285714285716
5,Left main bronchus,4293506,0.015659671160130718,68,0.4857142857142857
6,Esophagus,19346539,0.07056248176353874,135,0.9642857142857143
7,Fatty tissue esophagus,14082865,0.05136432437558357,115,0.8214285714285714
8,Right inferior pulmonary ligament,2648360,0.009659342903828198,36,0.2571428571428571
9,Left inferior pulmonary ligament,790660,0.002883768090569561,22,0.15714285714285714
10,Pleura,27123735,0.09892818846288516,119,0.85
11,Pericardium,8991121,0.03279324594421102,82,0.5857142857142857
12,Inferior pulmonary vein,3995340,0.014572172619047618,57,0.40714285714285714
13,Right subclavian artery,628626,0.0022927827380952383,13,0.09285714285714286
14,Right vagal nerve,1451745,0.005294938287815126,35,0.25
15,Aorta,13127032,0.0478781220821662,95,0.6785714285714286
16,Azygos vein,2584543,0.009426583654295051,82,0.5857142857142857
17,Superior caval vein,2018739,0.007362931109943977,26,0.18571428571428572
18,Lung,15894465,0.05797175901610644,88,0.6285714285714286
19,Lymph node,4934928,0.017999124649859945,101,0.7214285714285714
20,Fatty tissue,9017707,0.03289021285597572,118,0.8428571428571429
21,Left subclavian artery,44625,0.00016276041666666666,1,0.007142857142857143
22,Right bronchial artery,0,0.0,0,0.0
23,Pulmonary artery,612788,0.002235016923436041,25,0.17857142857142858
24,Pool of blood,2626203,0.009578529849439776,68,0.4857142857142857
25,Resection area,8215188,0.029963191526610644,93,0.6642857142857143
26,Gastric conduit,0,0.0,0,0.0
27,Right recurrent laryngeal nerve,170296,0.0006211192810457516,15,0.10714285714285714
28,Left recurrent laryngeal nerve,798496,0.0029123482726423904,24,0.17142857142857143
29,Omentum,0,0.0,0,0.0
30,Thoracic duct,176486,0.0006436960200746966,12,0.08571428571428572
