class_id,class_name,dice,iou,hd95,assd,gt_pixels,pred_pixels,surface_valid_pairs,surface_one_empty_pairs,one_empty_rate
0,Background,0.9906754417862748,0.9815231718324032,1.6354254779021478,0.5436650502566028,15015547,15009039,28,0,0.0
1,Respiratory Tract,0.3674396222214567,0.22506954549603791,301.0334581313911,220.5539773831728,3596636,2992833,28,7,0.25
2,Gastroesophageal,0.5531343119709813,0.38229831320727775,182.34858625101472,95.6042307269585,7729051,8264475,28,2,0.07142857142857142
3,Pleura,0.573332105139147,0.4018679520331294,252.8244233086146,146.21472605877506,7686801,7685361,28,4,0.14285714285714285
4,Heart,0.5908088089504218,0.41925383347761497,348.00578573455067,312.4730567429497,4798941,2665467,28,11,0.39285714285714285
5,Vessels,0.0,0.0,684.4827985412237,680.6413120558452,210306,67815,21,19,0.9047619047619048
6,Nerves,0.03774387542624432,0.019234938270070685,393.44272613082666,353.27232622281053,641671,96462,22,9,0.4090909090909091
7,Aorta,0.6356203265308215,0.4658676311958265,304.82052245599243,260.3220732261151,3818996,2422620,28,9,0.32142857142857145
8,Azygos Vein,0.4361700431663042,0.27891142592601476,331.3420770265759,299.81523148197823,710697,355644,22,8,0.36363636363636365
9,Superior Caval Vein,0.24145142868878738,0.1373015409570154,644.1897854196621,631.8707665769446,321403,555030,25,21,0.84
10,Lung,0.5568122085094305,0.38582103576024396,387.0220010763503,313.27078317968284,5301988,11172816,27,10,0.37037037037037035
11,Lymphatic Tissue,0.21232717186474412,0.11877294800426388,431.8722073861095,365.0278321984636,825630,1063530,28,12,0.42857142857142855
12,Non-anatomical Other,0.6970647337677609,0.5349956761731508,153.62609255459938,50.578597345613616,2956000,2044296,28,1,0.03571428571428571
13,Fatty Tissue,0.342309194530034,0.20649761306541553,232.2038630765806,168.46756668761964,2232637,1177695,26,4,0.15384615384615385
14,Pulmonary artery,3.658062598596218e-05,1.8290647534649347e-05,685.1237237575324,679.6066987106916,213799,4896,18,16,0.8888888888888888
15,Anatomical Other,0.23091019150586659,0.13052485543536063,324.90355239707105,215.86236570775102,2000697,2482821,28,6,0.21428571428571427
